Experience (Buckets)	How many years have you been doing data visualization?	What is your educational background?	What was your major?	Did you learn how to do data visualization in school or did you learn how to do it on your own?	What method do you think best teaches data visualization?	Did you set out to work in data visualization?	Is this your first job where data visualization is a part of your responsibilities?	What is your official job title?	Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?	What focus is data visualization in your work?	For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?	Do you do more or less data visualization than you expected for this role?	What's your employment status	How is your organization using data visualization?	Is there a separate group that does data visualizations or are you embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)	What modes of data visualization are in use at your organization?	Do you feel the leadership in your organization has a strong understanding of the value of data visualization?	Data visualization roles at your organization are found in what part of the organization?	How many hours a day are focused on creating/implementing/productizing data visualizations?	How many hours a day are focused on data engineering?	How many hours a day are focused on data science?	How many hours a day are focused on design?	How many hours a day are focused on data prep work?	How many hours a day are focused on building your portfolio?	What technologies do you use to visualize data?	Are you able to choose your own tools or are the choices made for you?	How do you present your data visualizations?	Which of these charts have you used in production in the last 6 months:	Who do you make data visualizations for?	What knowledge level do they have of the data you are visualizing for them?	How often do they consume your data visualizations?	What do they use your data visualizations for?	How would you describe your relationship with stakeholders?	I have adequate resources to explore the data visualization options I want to use. 	I aspire to be better at: 	What is your biggest frustration with doing data visualization in your job?	If you could change one thing about your data visualization work what would it be?	What do you think other people in your organization just don’t get about the data visualization work that you do?	I want to make better visualizations but don’t have the time/energy/resources.	I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.	What one change would make the data visualization aspect of your job better?	What community support / discussions / advice would you want to see from data visualization thought leaders?	Who do you look to as a thought leader in data visualization?	Do you want to spend more time or less time visualizing data in the future?	Gender	Age	Where do you live?	The organization you work for is in which of the following?
2-5	3	Bachelors	Journalism	Mostly Self-Taught	Examples	Intended to work in data visualization	Yes	Data Reporter	Data Visualization Role has Lower compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview	Embedded in another group	Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	No	Design	3	5	8	8	8	8	D3, Excel, ggplot, Illustrator, Leaflet, Python, Vega, WebGL	I'm able to choose my own tools.	Embedded in a tool, Scrollytelling, Static Web Page	Line Chart, Bar Chart, Infographics, Choropleth Map	General Public	Intro	Hourly	Journalism, Analysis	Consultative	4	The design side of data visualization	Getting enough time from editors to turn around projects	More team members	Lack of understanding about how much time it takes to conceptualize a data visualization project.	3	5			Pudding, New York Times, Bloomberg, Washington Post	More	Male	25 and lower	Florida	Journalism
2-5	3	Bachelors	Journalism	Mostly from School	Workshops	Intended to work in data visualization	Yes	Digital Producer	Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview, Communication		Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	Yes	Data Science/Analytics	5	0	1	1	1	8	Excel, Plotly, Python, Tableau	I'm able to choose my own tools.	Dashboard, Static Web Page, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Treemap	General Public, Executives	Intro	Daily	Journalism, Analysis, Summarization	Subordinate	4	The data side of data visualization	Daily deadlines only leaves time for surface level data analysis. I often times beautify press releases, instead of making new data discoveries. 	Spend more time analyzing the data for new/hidden trends, instead of jumping right into the viz design.	The dataviz is interactive. Use a mouse and hover over the information / use my filter-highlight tools.	3	2	More time with the data, with slightly less pressure of having to meet the daily deadline of curating constant news. Perhaps get assigned topics in advance to work into my schedule.	Advice from data professionals debating if going back to school (Masters) is necessary, when jumping into the data community full-time. Difference between remote work vs working for a company, in data.	Tableau Zen Masters, Data Remixed, Women in Data	Much more	Female	25 and lower	USA	Journalism
2-5	3	Bachelors	Modern languages	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Head of Data Journalism	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Communication	Separate data visualization group	Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Design	4	2	2	2	1	0	D3, Excel, ggplot, Illustrator, Python, QGIS, R, React	I'm able to choose my own tools.	Embedded in a tool, Scrollytelling, Static Web Page	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap, Choropleth Map	General Public	Moderate	Daily	Journalism	Collaborative	4	The design side of data visualization	Lack of size given over to data viz	More space and time to create data viz	How long it can take	3	3				Much more	Male	36-45	UK	Journalism
2-5	3	Bachelors	Commerce	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Manager of Data Visualization	Data Visualization Role has higher compensation	Data visualization is the focus of my job	Hired to do data visualization	Less	Employee at a Company	Analysis, Communication, Infographics and data visualization is used for online articles.	Embedded in another group	General charting libraries (highcharts, recharts), Hand-crafted in a graphics editor (Illustrator)	No	Design	6			2			D3, Illustrator	I'm able to choose my own tools.	Embedded in a tool, Scrollytelling, Static Web Page	Line Chart, Bar Chart, Infographics, Pictorial Visualization	General Public	Intro, Moderate	Daily	Journalism	Collaborative	1	The design side of data visualization	Creating mobile responsive visualizations for readers	Make it more user and understanding friendly for journalist.	There is lack of understanding and importance to data journalism and visualization, they lack the digital upgradation, especially after coming from print background	5	5	make it user friendly	1. Focus should also be on data compilation. 2. Whether the fancy visualizations is actually benefiting the reader to understand. 3. Mobile friendly story telling with data visualization		Much more	Male	36-45	India	Journalism
2-5	3	Bachelors	Media and journalism	Mostly Self-Taught	Workshops	Intended to work in data visualization	No	Journalist	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Summary/Overview, Communication	Embedded in another group	Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)	Yes	Design, IT	4	0	2	4	4	1	D3, Excel, Illustrator, Leaflet, Mapbox, Python, Vue	I'm able to choose my own tools.	Scrollytelling, Static Web Page, Presentations	Line Chart, Bar Chart, Infographics, Pictorial Visualization	General Public	Moderate	Weekly	Journalism	Consultative	4	The design side of data visualization	Automatic making data visualization by using programs 	More time for making 		4	4				More	Female	26-35	South Korea	Journalism
2-5	3	Bachelors	Mechanical Engineering	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Data Scientist	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Employee at a Company	Communication	Embedded in another group	Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Design, Research, Data Science/Analytics	1	2	3	5	2	0	D3, ggplot, Leaflet, Mapbox, Plotly, R, React, Web Components	I'm able to choose my own tools.	Embedded in a tool, Presentations	Bar Chart, Infographics, Raster Map, Flow Diagram	General Public	Intro	Weekly	Journalism, Education, Research	Collaborative	5	The design side of data visualization	Simplifying presentation		Some of us focus on pretty charts.	2	4		Examples and best practices	Edward Tufte	Same	Male	26-35	Nepal	Not-for-profit
2-5	3	Masters		Mostly Self-Taught	Examples	Intended to work in data visualization	Yes	Data Visualization Expert	Data Visualization Role has higher compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Consultant/Contractor/Freelancer						1	2	0.5	1	1	0.2	D3, Leaflet, Mapbox, Python, React, Matplotlib, Seaborn	I'm able to choose my own tools.	Dashboard, Scrollytelling, Static Web Page	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Treemap, Network Diagram, Choropleth Map, Flow Diagram	General Public	Intro, Moderate	Weekly	Journalism, Analysis, Education	Consultative	3	The design side of data visualization	Lack of appetite to build products which enable visualizing data. Data quality issues. Lack of resources. Most of the time Data visualization requires you to do full stack development. 	Reduce full stack development work. 		2	3	Good data audits. A strong data team. 	More conferences/talks/meetups. I feel there is still a dearth of it. More discussions on twitter. 	Mike Bostock	More	Male	N/A		Not-for-profit
2-5	3	Masters	Data Visualization	Mostly from School	Examples	Intended to work in data visualization	No	Data Analyst & Visualization Specialist	Data Visualization Role has Lower compensation	Data visualization is the focus of my job	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Notebooks, General charting libraries (highcharts, recharts), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Research	4	0	0	4	3	0	D3, Excel, ggplot, Illustrator, Leaflet, Mapbox, Python, R, Tableau	I'm able to choose my own tools.	Static Web Page, Documents, Presentations, Email	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap, Dendrogram, Network Diagram, Choropleth Map, Flow Diagram	General Public, Analysts, Executives	Intro, Moderate, Expert	Monthly	Analysis, Summarization, Education, Research	Consultative	3	The design side of data visualization	inability to include more customized graphics in our orgs CMS 	more time to experiment! 	the iterative nature of the work. sometimes you hit the mark on the first try, and sometimes user feedback is necessary. as this is not the case with much of the work in my org, this can be a frustration	5	5	A better way to embed custom charts into our CMS. Free me from Tableau, please! 	I'd like to see more of a community focus on building data visualization as a viable career choice. Freelance is great, but I'd love to see us push for data visualization to continue to be embedded in organizations. Also more women/diversity please. I've seen some twitter conversations within the data viz community that have really taken me by surprise this year, and I think now more than ever I'm hoping for a more diverse perspective. 		More	Female	26-35	New York	Not-for-profit
2-5	3	Bachelors	Liberal Arts: Biblical Literature	Mostly from School	Books	Intended to work in data visualization	Yes	DBA and Systems Manager	Data Visualization Role has same compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	IT, Data Science/Analytics	2	3		1	3	0	Excel, Power BI, Tableau, Web Components	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Scrollytelling, Documents, Presentations, Email	Line Chart, Bar Chart, Scatterplot, Infographics, Treemap, Choropleth Map, Flow Diagram	Analysts, Project Managers, Executives	Moderate	Weekly	Analysis, Summarization, Education, Research	Consultative	5	The data side of data visualization	Constantly training staff in data integrity best practices and finding where they have fallen short. 	More training. 	The importance and power of becoming data driven to help chart a plan of action. 	4	5	More time devoted to visualizing. 	Successful visualization culture implementation stories. 	Cole Knaflic, Ben Jones, Ryan Sleeper, Max Roser, Elijah Meeks, Nathan Yau	Much more	Female	46-55	Washington	Not-for-profit, Academic
2-5	3	Bachelors	Management Information Systems	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Consultant	Data Visualization Role has same compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Exploration	Separate data visualization group	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	Yes	Data Science/Analytics, Consulting Company: Data Viz Practice	2	2	0	2	2	1	Excel, Power BI, Qlik, Tableau	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Presentations, Email	Line Chart, Bar Chart, Pie Chart, Scatterplot, Treemap, Choropleth Map	Analysts, Medical Professionals, Product Managers, Project Managers, Executives	Moderate	Daily	Analysis, Summarization	Consultative	3	The design side of data visualization	Lack of adoption	The freedom to design more appealing visualizations	They don't understand the underlying design considerations needed for each viz	2	3	Easier access to training examples in new tools	Which tools/languages should I focus on?	Andy Kriebel	More	Male	26-35	Pennsylvania	Private sector
2-5	3	Other	IT Forensics	Mostly Self-Taught	Hands on tinkering with visualization libraries	Ended up doing data visualization as a requirement of the job	No	IT Security Engineer	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Exploration, Threathunting, Incidents	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Excel/PowerPoint	Don't Know	Don't know, i'm new at the SOC and the only user of modern visualization tech i know of.	1	1	0	0	1	0	D3, Python, Vis JS, Chap-links	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page, Mostly in tools i write myself, but sometimes it's only used to generate an image that i send to a collegue	Network Diagram, Parallel coordinates, Heatmap, Timeline (all interactive)	Analysts, Engineers, Security staff	Moderate, Expert	Weekly	Analysis, Summarization	Subordinate	3	The design side of data visualization	Too focused on other things	To be part of a fully developed SOC where everything is up and running, right now we're building it.	Most of my coworkers do get it, the benefits are obvious. The rest i don't care about.	4	4	Better access to data, less ETL.	Less "look at this cool art i made" and more "how do we use this".	Cambridge Intelligence	Much more	Male	N/A		Private sector
