Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What methods do you think best teach data visualization?,What area is your next priority for improving your data visualization skills?,Are you a freelancer/consultant?,What focus is data visualization in your work?,For the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,Do you do more or less data visualization than you expected for this role?,Which one of these is the closest to describing your role?,What is your yearly pay?,What is your hourly rate?,How is your organization using data visualization? Select all that apply.,"Is there a separate group dedicated to creating data visualization or are data visualization specialists embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)",What modes of data visualization are in use at your organization? Select all that apply.,Leadership in your organization has a strong understanding of the value of data visualization.,Data visualization at your organization features prominently in what parts of the organization? Select all that apply.,Hours a week focused on creating/implementing/productizing data visualizations?,Hours a week focused on data engineering?,Hours a week focused on data science?,Hours a week focused on design?,Hours a week focused on data prep work?,Hours a week focused on building your portfolio?,What technologies do you use to visualize data? Select all that apply.,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations? Select all that apply.,Which of these charts have you used in production in the last 6 months? Select all that apply.,Who do you make data visualizations for? Select all that apply.,What knowledge level does your audience have of the data you are visualizing for them? Select all that apply.,"Most typically, how often does your audience use your data visualization?",What does your audience use your data visualization for? Select all that apply.,How would you describe your relationship with stakeholders?,I have adequate resources to explore the data visualization options I want to use. ,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,I want to make better visualizations but don’t have the time/energy/resources.,I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.,My skills hold me back much more than my tools do.,What one change would make the data visualization aspect of your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,How many years of experience do you have doing professional data visualization?,What is your educational background,The organization you work for is in which of the following areas?,"If you went to college, what did you major in during your undergraduate work?",What's your gender identity?,Do you consider yourself a member of the LGBTQ+ community? ,What city do you live in?,What country do you live in?,What non-programming languages do you use regularly?
Mostly Self-Taught,"Examples, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,Less,Scientist,$100k - $120k,,"Analysis, Marketing, Exploration",There are no specialists in data visualization in my organization,"ArcGIS, 3d modeling ",4,"Marketing, Data Science/Analytics",8,0,2,4,8,0,"ArcGIS, Excel",I'm able to choose my own tools.,"Documents, Presentations","Line Chart, Flow Diagram (Sankey, DAGRE, Flow Chart)","Scientists, Executives",Moderate,Monthly,"Analysis, Investment ",Consultative,3,"Not everyone appreciates the time I put in making things look good, or they just don't care how things look",More time to design and create ,How complicated some of the data sets are,5,4,4,More education in design ,More educational opportunities ,"Ken Field, ESRI",Much more,10,Masters,Private sector,Geology,Man,Yes,"Reno, Nevada",USA,
Mostly Self-Taught,"Books, Workshops, Examples, Working through a project, Mentoring/Teaching others",Improving my data skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Student,$20k - $40k,,"Analysis, Communication, Marketing, Exploration, Storytelling, Education",There are no specialists in data visualization in my organization,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7,"Design, Research, Data Science/Analytics",5,10,20,1,20,0,"ArcGIS, Excel, ggplot2, Leaflet, QGIS, R, Pen & Paper, Figma",I'm able to choose my own tools.,"Static Web Page, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Choropleth Map, Raster Map, Flow Diagram (Sankey, DAGRE, Flow Chart), 3D Charts","General Public, Engineers, Scientists","Moderate, Expert",Not tracked / Unknown,"Education, Research",Consultative,3,,,,4,5,2,,,,More,2,PhD,Academic,"Environmental Engineering, Earth Science",Man,Yes,Waterloo,Canada,English
Mostly From School (or other formal courses),"Workshops, Examples, Working through a project",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Student,$20k - $40k,,"Analysis, Machine Learning, Summary/Overview, Communication, Exploration, Storytelling, Education",Both,"Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted with pen & paper or other physical means",6,"Design, Research, Leadership, Data Science/Analytics",5,5,10,2,10,1,"Excel, ggplot2, Leaflet, Plotly, Python, R",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Static Web Page, Interactive Notebook, Documents, Presentations, Email","Line Chart, Bar Chart, Scatterplot, Infographics, Pictorial Visualization, Treemap, Dendrogram, Raster Map","General Public, Analysts, Scientists, Medical Professionals","Intro, Moderate, Expert",Not tracked / Unknown,"Analysis, Summarization, Education, Research",Collaborative,5,Lack of time to explore options,Implementing more flexible visualizations regulary,,5,5,3,Acceptance of wider variety of viz outside of R,Love examples and walkthroughs,Albert Cairo,More,2,Bachelors,Academic,Statistics,Man,No,Nashville,USA,
Equal Parts School and Self-Taught,"Examples, Working through a project",Improving my data skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Student,$20k - $40k,$22.00,"Analysis, Summary/Overview, Storytelling",There are no specialists in data visualization in my organization,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5,"Marketing, Research, Data Science/Analytics",3,3,2,2,10,0,"ggplot2, Plotly, Python, R",I'm able to choose my own tools.,"Documents, Presentations","Line Chart, Bar Chart, Scatterplot, Box & Whisker Plot","Analysts, Scientists, Project Managers, Executives","Intro, Moderate, Expert",Not tracked / Unknown,"Analysis, Summarization, Research",Consultative,4,Time limitations (everyone wants it done yesterday),Cleaner code,How long it takes to get the visualization to look good.,5,5,4,More practice using different types of plots,"A plot decision guide, something outlining the best plot for a given situation.",,Much more,2,Masters,Academic,Psychology,Man,Yes,Orlando,USA,English 
Equal Parts School and Self-Taught,"Examples, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my design skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Academic,$20k - $40k,,"Analysis, Summary/Overview, Exploration, Storytelling, Education",There are no specialists in data visualization in my organization,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",6,"Engineering, Research, Data Science/Analytics",10,10,2,1,3,2,"Python, Matplotlib, inkskape",I'm able to choose my own tools.,"Interactive Notebook, Documents, Presentations","Line Chart, Scatterplot, Hexbin/Heatmap, Raster Map, Flow Diagram (Sankey, DAGRE, Flow Chart), 3D Charts",Scientists,Expert,Not tracked / Unknown,Research,Consultative,4,,,,4,4,2,,,,Same,3,Bachelors,Academic,"chemistry, computer science ",Man,"No, but I identify as an Ally","Madison, wi",USA,english
Mostly Self-Taught,"Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,Academic,$20k - $40k,,"Communication, Education",Separate data visualization group,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",1,,,,,,,,react-vis,I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Static Web Page, Interactive Notebook, Documents, Newspaper or other physical handout","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Treemap, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart), Force-Directed Graph","General Public, Scientists","Intro, Moderate",Not tracked / Unknown,,,5,,,,4,3,2,,,,More,5,Masters,Academic,Physics,Man,"No, but I identify as an Ally",Chicago,USA,English
Mostly Self-Taught,"Collaboration with more skilled practitioners, Working through a project",Learning a new technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Academic,$20k - $40k,,"Analysis, Summary/Overview, Communication, Storytelling, Education",There are no specialists in data visualization in my organization,"General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,"Design, Research",2,1,0,0,4,10,"Excel, Python, Matplotlib, libre office",I'm able to choose my own tools.,"Static Web Page, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, 3D Charts",Scientists,Expert,Monthly,Research,Subordinate,5,Nobody caring about the data I produce in research,,,2,1,4,,,,More,2,Masters,Academic,"Chemistry, Applied Math",Man,No,nyc,USA,English
Mostly Self-Taught,"Collaboration with more skilled practitioners, Mentoring/Teaching others",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Scientist,$20k - $40k,,"Analysis, Machine Learning, Summary/Overview, Exploration, Storytelling, Education",There are no specialists in data visualization in my organization,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3,Research,4,0,10,0,4,1,Python,I'm able to choose my own tools.,"Interactive Notebook, Documents, Presentations, Email","Line Chart, Scatterplot, Hexbin/Heatmap, 3D Charts",Scientists,Expert,Weekly,"Education, Research",Collaborative,3,inconsistent matplotlib API conventions,see if I can replace matplotlib with ggplot2,it's worth spending a little extra time on visualization design to make the message clearer,3,4,3,"more declarative, less procedural dataviz code",,"Michael Waskom, Hadley Wickham, Jeff Heer",Same,7,Masters,Academic,Physics,Man,"No, but I identify as an Ally","Santa Cruz, CA",USA,English
Mostly Self-Taught,"Books, Examples, Video Tutorials",Improving my data skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,Less,Designer,"Less than $20,000",,"Summary/Overview, Communication, Marketing, Storytelling",Both,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5,"Design, Research",8,3,3,8,8,3,"D3, Excel, ggplot2, Illustrator, Processing, R, Tableau, Pen & Paper, P5/Processing",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Embedded in a tool, Dashboard, Static Web Page","Line Chart, Bar Chart, Pie Chart, Scatterplot, Treemap, Choropleth Map","General Public, Executives","Intro, Moderate",Not tracked / Unknown,"Entertainment, Journalism",Collaborative,3,,,,4,4,5,,,,Much more,1,Bachelors,Private sector,UX Design,Man,No,Cali,Colombia,"Spanish, English"
Mostly Self-Taught,"Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Learning a new technical tool or library,No,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,Designer,$60k - $80k,,"Communication, Storytelling",Separate data visualization group,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7,"Design, Engineering, Marketing, Research, IT, Leadership, Data Science/Analytics",40,0,0,30,10,0,"Excel, ggplot2, Illustrator, QGIS, R, Pen & Paper",I'm able to choose my own tools.,"Scrollytelling, Static Web Page, Newspaper or other physical handout","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Treemap, Network Diagram, Choropleth Map, Raster Map, Flow Diagram (Sankey, DAGRE, Flow Chart)","General Public, Analysts",Intro,Not tracked / Unknown,Journalism,,5,Finding data and shapefiles.,Data analysis.,How long things take. Our teams process and criteria for taking on a project.,2,5,4,Learning new skills,,,Much more,6,Bachelors,Journalism,Drawing,Man,No,London,United Kingdom,English
Mostly Self-Taught,"Examples, Working through a project, Mentoring/Teaching others",Improving my design skills,No,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,Analyst,,,"Analysis, Summary/Overview, Communication, Exploration, Storytelling",Separate data visualization group,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",5,"Design, Data Science/Analytics",20,20,5,5,10,,"D3, ggplot2, Illustrator, QGIS, R, Pen & Paper, Canvas",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Scrollytelling, Static Web Page, Newspaper or other physical handout",,"General Public, Executives, Designers",Intro,,"Journalism, Analysis",,4,,,"Complexity of building, amount of data prep work, role of actual data",3,4,2,,,,Same,5,Masters,Journalism,,Man,No,London,United Kingdom,
Mostly Self-Taught,"Workshops, Working through a project, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,None of these describe my role,$40k - $60k,,"Analysis, Communication, Storytelling",Both,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",5,"Design, Engineering, Research, Data Science/Analytics",8,8,8,8,8,1,"D3, Excel, ggplot2, Illustrator, Leaflet, Mapbox, QGIS, R, React, Vue, Pen & Paper, Canvas",I'm able to choose my own tools.,"Scrollytelling, Static Web Page, Newspaper or other physical handout","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap, Network Diagram, Choropleth Map, Raster Map, Flow Diagram (Sankey, DAGRE, Flow Chart)",General Public,Moderate,Daily,Journalism,Collaborative,4,Time,,The abstraction of it and the tine it takes to build a data visualization,3,5,2,,"Workshops, mentorship",Alberto Cairo,More,3,Masters,Journalism,Journalism,Man,No,DC,USA,"English, Spanish"
